學號,國文,數學,歷史,地理,性別,班級
1,92,53,91,68,男,A
2,90,71,93,47,女,A
3,82,82,88,56,女,A
4,75,30,98,100,女,A
5,100,49,81,98,女,A
6,72,55,92,96,女,A
7,85,100,83,71,男,A
8,79,22,80,78,女,A
9,77,44,89,99,男,A
10,83,85,92,50,女,A
11,91,100,89,73,女,A
12,79,47,92,100,女,A
13,85,77,87,55,女,A
14,100,36,86,61,男,A
15,93,58,84,92,男,A
16,61,85,83,68,女,A
17,72,19,84,34,女,A
18,92,1,85,79,男,A
19,90,52,88,67,女,A
20,72,40,88,39,男,A
21,74,65,100,43,女,A
22,87,59,95,87,女,A
23,79,32,89,100,女,A
24,79,22,89,57,男,A
25,75,48,95,42,男,A
26,66,28,86,94,女,A
27,60,43,94,44,女,A
28,80,56,92,56,女,A
29,81,68,88,100,女,A
30,100,62,89,92,女,A
31,88,38,93,56,女,A
32,83,100,89,100,男,A
33,82,38,82,62,女,B
34,86,78,87,66,男,B
35,76,8,90,36,男,B
36,76,39,87,37,女,B
37,77,81,83,82,男,B
38,82,56,96,90,男,B
39,99,17,100,40,男,B
40,94,73,89,61,女,B
41,79,98,88,74,男,B
42,92,14,99,97,女,B
43,97,35,95,99,女,B
44,94,98,82,91,女,B
45,74,0,89,87,女,B
46,66,77,89,70,女,B
47,89,38,86,65,男,B
48,80,86,82,92,男,B
49,80,29,93,79,女,B
50,88,47,87,98,女,B
51,77,89,93,59,女,B
52,89,51,83,93,女,B
53,92,41,91,47,男,B
54,87,68,88,78,女,B
55,76,80,86,74,女,B
56,73,39,90,49,男,B
57,69,47,82,64,男,B
58,71,100,87,69,男,B
59,84,32,94,71,男,B
60,74,95,92,32,男,B
61,95,33,81,49,男,B
62,74,63,92,87,女,B
63,84,70,85,56,女,B
64,75,80,91,65,女,B
65,78,38,84,61,男,C
66,63,15,82,56,女,C
67,64,58,85,57,女,C
68,89,88,98,68,男,C
69,66,73,93,76,男,C
70,66,35,93,46,男,C
71,87,10,94,54,女,C
72,64,58,93,65,男,C
73,76,24,91,96,男,C
74,89,4,93,71,男,C
75,61,0,86,86,男,C
76,80,100,89,79,男,C
77,84,67,91,88,女,C
78,70,58,87,70,男,C
79,100,43,93,100,男,C
80,87,100,95,48,男,C
81,83,75,92,55,男,C
82,83,80,89,73,女,C
83,77,31,90,51,男,C
84,80,41,80,100,男,C
85,86,87,86,63,女,C
86,69,37,91,42,男,C
87,79,0,97,82,男,C
88,75,40,76,69,男,C
89,60,93,91,79,男,C
90,82,66,89,89,男,C
91,65,100,91,73,女,C
92,72,61,89,75,女,C
93,83,89,89,82,男,C
94,84,1,98,62,男,C
95,72,98,85,74,男,C
96,83,59,88,91,男,C
97,83,100,97,49,女,C
98,71,38,86,36,男,C
99,77,16,85,80,女,C
100,92,47,88,64,男,C
