index,貨物稅前十大週期,貨物稅週期,綜所稅前十大週期,綜所稅週期,營業稅前十大週期,營業稅週期
1,7,5.285714285714286,15,2.466666666666667,1,37
2,10,3.7,5,7.4,11,3.3636363636363638
3,15,2.466666666666667,7,5.285714285714286,15,2.466666666666667
4,14,2.642857142857143,10,3.7,2,18.5
5,16,2.3125,1,37,14,2.642857142857143
6,1,37,4,9.25,9,4.111111111111111
7,17,2.176470588235294,6,6.166666666666667,6,6.166666666666667
8,2,18.5,2,18.5,13,2.8461538461538463
9,9,4.111111111111111,13,2.8461538461538463,8,4.625
10,3,12.333333333333334,14,2.642857142857143,7,5.285714285714286
